date,sltb,sltb_dh_all,sltb_mua_all,sltb_dh_098,sltb_mua_098,sltb_mua_191_098,sltb_mua_myviettel_098,sltb_dh_101,sltb_mua_101,sltb_mua_191_101,sltb_mua_myviettel_101,sltb_dh_102
4/15/2026,46007,1168,221,704,147,143,4,102,34,32,2,381
4/16/2026,46007,2305,567,1541,468,455,13,200,51,49,2,697
4/17/2026,46007,3222,797,2223,686,669,17,281,68,65,3,972
4/18/2026,46007,4013,1017,2806,884,863,21,356,88,85,3,1213
4/19/2026,46007,4715,1192,3339,1053,1027,26,416,101,97,4,1418
4/20/2026,46007,5377,1549,3887,1386,1348,38,475,133,128,5,1592
4/21/2026,46007,5904,1719,4286,1531,1486,45,530,150,142,8,1750
4/22/2026,46007,6512,1835,4644,1635,1583,52,578,158,150,8,2072
4/23/2026,46007,7167,2238,5036,1943,1880,63,622,195,186,9,2412
4/24/2026,46007,7739,2362,5354,2040,1973,67,678,204,195,9,2725
4/25/2026,46007,8286,2616,5675,2247,2175,72,725,231,219,12,3002
4/26/2026,46007,8791,2743,5987,2357,2280,77,770,241,229,12,3261
4/27/2026,46007,9227,2835,6268,2443,2361,82,805,250,238,12,3495
4/28/2026,46007,9682,2932,6545,2527,2442,85,845,259,246,13,3734
